"Term Set Name","Term Set Description","LCID","Available for Tagging","Term Description","Level 1 Term","Level 2 Term","Level 3 Term","Level 4 Term","Level 5 Term","Level 6 Term","Level 7 Term"
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Digital Interactive Advertising","Email Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Digital Interactive Advertising","Satellite Communication Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Digital Interactive Advertising","Website Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Direct Mail",,,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Electronic Advertising",,,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Electronic Advertising","FAX Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Electronic Advertising","Product Placement in Movies/Television",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Electronic Advertising","Radio Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Electronic Advertising","Television Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Indoor Advertising",,,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Outdoor Advertising",,,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Outdoor Advertising","Billboard Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Outdoor Advertising","Transit Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Print Advertising",,,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Print Advertising","Magazine Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Print Advertising","Newspaper Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Print Advertising","Yellow Pages Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Telemarketing",,,
,,,TRUE,,"Marketing","Advertising","Advertising Mediums","Telemarketing","Text Message Advertising",,
,,,TRUE,,"Marketing","Advertising","Advertising Production",,,,
,,,TRUE,,"Marketing","Advertising","Advertising Regulation",,,,
,,,TRUE,,"Marketing","Advertising","Advertising Tracking",,,,
,,,TRUE,,"Marketing","Corporate Branding",,,,,
,,,TRUE,,"Marketing","Corporate Branding","Corporate Templates",,,,
,,,TRUE,,"Marketing","Corporate Branding","Logos",,,,
,,,TRUE,,"Marketing","Corporate Branding","Trademarks",,,,
,,,TRUE,,"Marketing","Corporate Website",,,,,
,,,TRUE,,"Marketing","Corporate Website","Ecommerce",,,,
,,,TRUE,,"Marketing","Corporate Website","Search Engine Optimization",,,,
,,,TRUE,,"Marketing","Corporate Website","Website Design",,,,
,,,TRUE,,"Marketing","Demand Forecasting",,,,,
,,,TRUE,,"Marketing","Demand Forecasting","International Demand Forecasting",,,,
,,,TRUE,,"Marketing","Demand Forecasting","Local Demand Forecasting",,,,
,,,TRUE,,"Marketing","Demand Forecasting","National Demand Forecasting",,,,
,,,TRUE,,"Marketing","Demand Forecasting","Regional Demand Forecasting",,,,
,,,TRUE,,"Marketing","Market Research",,,,,
,,,TRUE,,"Marketing","Market Research","Competitive Intelligence",,,,
,,,TRUE,,"Marketing","Market Research","Market Segmentation",,,,
,,,TRUE,,"Marketing","Market Research","Market Trends",,,,
,,,TRUE,,"Marketing","Market Research","Qualitative Market Research",,,,
,,,TRUE,,"Marketing","Market Research","Qualitative Market Research","Customer Interviews",,,
,,,TRUE,,"Marketing","Market Research","Qualitative Market Research","Focus Groups",,,
,,,TRUE,,"Marketing","Market Research","Qualitative Market Research","Observational Market Research",,,
,,,TRUE,,"Marketing","Market Research","Quantitative Market Research",,,,
,,,TRUE,,"Marketing","Market Research","Surveys",,,,
,,,TRUE,,"Marketing","Product Information",,,,,
,,,TRUE,,"Marketing","Product Information","Product Collateral",,,,
,,,TRUE,,"Marketing","Product Information","Product Pricing",,,,
,,,TRUE,,"Marketing","Product Information","Product Specifications",,,,
,,,TRUE,,"Marketing","Public Relations",,,,,
,,,TRUE,,"Marketing","Public Relations","Analyst Relations",,,,
,,,TRUE,,"Marketing","Public Relations","Clipping and Press Monitoring",,,,
,,,TRUE,,"Marketing","Public Relations","Community Relations",,,,
,,,TRUE,,"Marketing","Public Relations","Crisis Management",,,,
,,,TRUE,,"Marketing","Public Relations","Media Relations",,,,
,,,TRUE,,"Marketing","Public Relations","Press Releases",,,,
,,,TRUE,,"Marketing","Public Relations","Product Positioning",,,,
,,,TRUE,,"Marketing","Revenue Projections",,,,,
,,,TRUE,,"Marketing","Sales",,,,,
,,,TRUE,,"Marketing","Sales","Customer Account Management",,,,
,,,TRUE,,"Marketing","Sales","Customer Account Management","Customer Retention",,,
,,,TRUE,,"Marketing","Sales","Independent Sales Agents",,,,
,,,TRUE,,"Marketing","Sales","Inside Sales",,,,
,,,TRUE,,"Marketing","Sales","New Business Development",,,,
,,,TRUE,,"Marketing","Sales","Outside Sales",,,,
,,,TRUE,,"Marketing","Sales","Value Added Resellers",,,,
